PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98461,Manufacturing,0030131000,9434-9446 N 107TH ST,,9,6300,Service Building,Concrete Block,1,1978,NULL,20600.00,6,NULL,0,0,0.00,4/1/2022,950000.00
98464,Commercial,0030152000,9306-9316 N 107TH ST,,9,6202,Office Building - 1 Story,Brick,1,1982,NULL,9688.00,23,NULL,0,0,35719.00,10/7/2022,385000.00
98508,Residential,0049980110,9327 N SWAN RD,,9,0040,,,,NULL,NULL,NULL,0,NULL,0,0,1341648.00,1/7/2022,800000.00
98519,Residential,0049993200,9411 W COUNTY LINE RD,,9,0040,Ranch,Aluminum/Vinyl,1,1959,6,1334.00,1,3,1,1,83200.00,8/9/2022,280000.00
98561,Residential,0050042000,9322 N JOYCE AV,,9,0040,Ranch,Aluminum/Vinyl,1,1980,10,1006.00,1,6,1,0,8303.00,5/23/2022,233100.00
98593,Residential,0050074000,9360 N 85TH ST,,9,0040,Ranch,Aluminum/Vinyl,1,1982,5,1007.00,1,3,1,0,7200.00,7/25/2022,215000.00
98604,Residential,0050085000,9305 N BURBANK AV,,9,0040,Ranch,Aluminum/Vinyl,1,1984,5,1301.00,1,3,2,0,7200.00,3/29/2022,150000.00
98608,Residential,0050089000,9217 N 83RD ST,,9,0040,Colonial,Aluminum/Vinyl,2,2007,9,2237.00,1,4,2,1,15677.00,5/10/2022,400000.00
98696,Condominium,0070017000,"9192 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437.00,1,3,2,1,0.00,5/16/2022,122000.00
98715,Condominium,0070036000,"9212 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437.00,1,4,2,1,0.00,4/14/2022,123000.00
98717,Condominium,0070038000,"9242 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437.00,1,4,2,1,0.00,3/11/2022,106000.00
98719,Condominium,0070040000,"9238 N 70TH ST, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898.00,1,2,1,1,0.00,7/7/2022,95000.00
98723,Condominium,0070044000,"9230 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,1,1973,10,1437.00,1,6,2,1,0.00,2/4/2022,122000.00
98726,Condominium,0070047000,"9258 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,10,1253.00,1,6,1,1,0.00,1/19/2022,108000.00
98737,Condominium,0070058000,"9280 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437.00,1,3,2,1,0.00,11/4/2022,145000.00
98772,Condominium,0070093000,"6951 W GLENBROOK RD, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1244.00,1,3,2,1,0.00,12/6/2022,58000.00
98784,Condominium,0070105000,"6923 W GLENBROOK RD, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1244.00,1,3,2,1,0.00,10/28/2022,99000.00
98789,Condominium,0070110000,"6933 W GLENBROOK RD, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253.00,1,3,1,1,0.00,12/6/2022,110000.00
98796,Condominium,0070117000,"6913 W GLENBROOK RD, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437.00,1,3,2,1,0.00,12/9/2022,124000.00
98852,Condominium,0310237000,8991 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401.00,1,3,2,1,1.00,4/13/2022,153000.00
98868,Condominium,0310253000,9025 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295.00,1,2,1,1,1.00,10/14/2022,80000.00
98868,Condominium,0310253000,9025 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295.00,1,2,1,1,1.00,12/29/2022,140000.00
98875,Condominium,0310260000,9039 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401.00,1,3,2,1,1.00,11/16/2022,137000.00
98907,Condominium,0310292000,9115 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498.00,1,3,1,1,1.00,7/30/2022,150000.00
98922,Condominium,0310307000,9145 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401.00,1,3,3,1,1.00,7/19/2022,160000.00
98929,Condominium,0310314000,9159 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,7,1626.00,1,4,2,1,1.00,11/28/2022,145000.00
98934,Condominium,0310319000,9169 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295.00,1,2,1,1,1.00,3/28/2022,129400.00
98946,Condominium,0310331000,9205 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295.00,1,2,1,1,1.00,3/28/2022,121000.00
98947,Condominium,0310332000,9207 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498.00,1,3,2,1,1.00,10/27/2022,154000.00
98961,Condominium,0310405000,"9028 N 70TH ST, Unit 5",NORTHRIDGE THE TREES,9,5030,Condo Townhouse,,2,1975,7,1452.00,1,3,2,1,0.00,11/10/2022,134000.00
98968,Condominium,0310412100,"9014 N 70TH ST, Unit 6",NORTHRIDGE THE TREES,9,5030,Condo Townhouse,,2,1975,6,1452.00,1,3,2,1,0.00,3/4/2022,74000.00
98975,Condominium,0310419000,"9000 N 70TH ST, Unit 6",NORTHRIDGE THE TREES,9,5030,Condo Townhouse,,2,1975,7,1420.00,1,4,2,1,0.00,8/22/2022,135000.00
98976,Commercial,0310421000,7400 W BROWN DEER RD,,9,6202,Office Building - Multi Story ( Ofc & Apt),Concrete Block,2,1978,NULL,7444.00,4,NULL,0,0,0.00,9/13/2022,475000.00
99132,Residential,0330039000,8930 N 87TH CT,,9,0040,Colonial,Aluminum/Vinyl,2,1979,6,1713.00,1,3,1,1,10500.00,11/16/2022,187000.00
99176,Residential,0330083000,9178-9180 N 86TH CT,,9,0040,Townhouse,Aluminum/Vinyl,2,1979,10,2222.00,2,6,2,2,8640.00,1/21/2022,180000.00
99211,Residential,0330122000,9151 N JOYCE AV,,9,0040,Ranch,Aluminum/Vinyl,1,1978,7,1593.00,1,3,1,1,10440.00,3/7/2022,210000.00
99243,Condominium,0330202000,9109 N 85TH ST,CONDO IV,9,5048,Low Rise 1-3 Stories,,1,1979,5,920.00,1,2,1,0,1.00,5/25/2022,43400.00
99266,Condominium,0330246000,"9060 N 85TH ST, Unit 5",RIDGE COURT,9,5050,Low Rise 1-3 Stories,,1,1978,4,915.00,1,2,1,0,1.00,10/20/2022,75000.00
99392,Condominium,0340341000,"8854 N 95TH ST, Unit c",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,10,1054.00,1,6,1,1,1.00,1/19/2022,29000.00
99437,Condominium,0340386000,"8878 N 95TH ST, Unit h",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249.00,1,4,1,1,1.00,12/30/2022,56000.00
99448,Condominium,0340397000,"8867 N 95TH ST, Unit a",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249.00,1,4,1,1,1.00,10/31/2022,58300.00
99456,Condominium,0340405000,"8867 N 95TH ST, Unit j",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,9/16/2022,40000.00
99472,Condominium,0340515000,"8847 N SWAN RD, Unit g",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,10/28/2022,30000.00
99513,Condominium,0340556000,"8871 N SWAN RD, Unit k",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249.00,1,4,1,1,1.00,5/27/2022,27500.00
99529,Condominium,0340572000,"8883 N SWAN RD, Unit f",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,4/5/2022,52000.00
99593,Condominium,0340642000,"9051 N 95TH ST, Unit f",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,9/29/2022,55000.00
99593,Condominium,0340642000,"9051 N 95TH ST, Unit f",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,9/29/2022,62500.00
99596,Condominium,0340645000,"9061 N 95TH ST, Unit a",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,6,1249.00,1,4,1,1,1.00,8/9/2022,38000.00
99621,Condominium,0340670000,"9097 N 95TH ST, Unit b",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,7/7/2022,50000.00
99621,Condominium,0340670000,"9097 N 95TH ST, Unit b",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,7/26/2022,28500.00
99641,Condominium,0340690000,"9086 N 95TH ST, Unit d",WOODLANDS,9,5060,Condo Townhouse,,2.5,1970,5,1054.00,1,3,1,1,1.00,3/12/2022,63000.00
